start,end,text
0,3840," How's it going gravy and welcome to the"
3840,5640," WAN show we've got a great show lined up"
5640,8120," for you guys today lots of great topics"
8120,10040," which everyone who was tuned into the"
10040,14040," pre-show knows is a big fat lie but we"
14040,15480," do have a few pretty interesting ones"
15480,19440," monster monster energy is running around"
19440,24080," suing pretty much anyone who has monster"
24080,26240," associated with their brand or the name"
26240,28720," of their product in any way so by simply"
28720,31200," putting monster in the title of this"
31200,33120," video we could be opening ourselves up"
33120,36360," to a big fat lawsuit hey thanks monster"
36360,40200," energy in other news star forged systems"
40200,43960," reviewed the LTT screwdriver I have"
43960,47480," gone out of my way to not only not watch"
47480,50480," the video oh but I haven't even skimmed"
50480,52600," the comments so we are going to be"
52600,55120," reacting live we're doing a reaction"
55120,57920," video Luke let's go what else we got"
57920,61080," today one of our channels got deleted"
61080,62960," did I do it on purpose because I enjoyed"
62960,64880," it so much last time I was wondering that"
64880,68720," or what really happened who else has"
68720,73480," the the opportunity and the motive I'm"
73480,75800," pretty high on the suspect's list at"
75800,78640," this point in time also in other news"
78640,81520," arc battle mage it's still happening"
81520,84400," okay and so is the other one that I"
84400,86040," don't remember the name last there we go"
86040,89200," and they matter they're not canceled"
89200,91800," yeah well they might matter hopefully"
91800,113840," or something will matter yeah I don't"
113840,115000," know if I want to talk about that the"
115000,117200," shows brought you by covalent zoho one"
117200,120040," and square space I'm just so tired of"
120040,121320," talking about Tesla are you talking"
121320,124080," about the cameras yeah footage just"
124080,126680," like pretty bad circulating in like meme"
126680,128640," chats it's especially because they have"
128640,130200," internal cameras in their cars don't"
130200,133880," they we okay fine just just add to the"
133880,135880," list we can talk about it okay we don't"
135880,137720," have to yeah it's just like I'm just so"
137720,140960," tired I agree it is exhausting I totally"
140960,142800," understand we don't have to like in"
142800,146280," other news um they're like just as"
146280,148080," evil as everybody else and you shouldn't"
148080,152280," be a fanboy in other news still that"
152280,155680," let's kick it off with monster energy"
155680,160680," suing the developer of a game just for"
160680,164240," having the word monster in the title the"
164240,166800," best part is that it doesn't even have"
166800,169600," the word monster in the title it has the"
169600,173480," word monsters in the title so they're"
173480,176000," suing indie game developer glow stick"
176000,177920," entertainment over the title of its"
177920,182920," 2020 horror game dark deception monsters"
182920,188360," and mortals yes what the fuck their"
188360,191080," claim is that the game's branding is"
191080,194600," confusingly similar to their monster"
194600,196560," energy trademark maybe to people that"
196560,198800," drink monster that's not it that's not"
198800,203440," no no no no hold on a second this is"
203440,207800," the this is it Luke yeah so they put"
207800,209960," them both in like monstery font but"
209960,211720," it's not even a similar monster yeah this"
211720,213640," is more of like maybe like somewhere"
213640,216960," between ninja and Diablo yeah cuz like"
216960,218720," the line through the oh and like stuff"
218720,220280," like that and this is obviously hairy"
220280,224320," yeah this is hair hair inspired this is"
224320,228520," these are nothing alike get this and it"
228520,230480," also has lots of other words and it"
230480,232240," doesn't even start yes it's the biggest"
232240,233560," one but it doesn't even start with the"
233560,235200," word monster even the biggest one I"
235200,238400," think mortals is equally tall okay it's"
238400,239920," the biggest one sure it's the biggest"
239920,241240," not by much though they're both they're"
241240,243440," both very large and get this they're"
243440,246000," going after them over this their"
246000,249320," studio's logo oh wait what glow stick"
249320,251760," entertainment logo looks like this and"
251760,254960," monster is insisting that they need to"
254960,258640," remove the color green from their logo"
258640,261840," oh come on I didn't even know about that"
261840,265160," part this is the kind of thing that I've"
265160,269240," got to look at and go what is the 4d"
269240,271200," chest that they're playing here yeah it"
271200,273840," is the is the idea that there's no such"
273840,276080," thing as bad publicity and anything that"
276080,278800," gets people talking about monster in any"
278800,282720," context is inherently good because like"
282720,284000," let's think about this for a second"
284000,286480," their their beverage tastes like piss"
286480,291040," water right I haven't had a monster in"
291040,292840," so long I don't even know but like I"
292840,294760," mean I tried it recently for short"
294760,297080," circuit with that said I'm not the biggest"
297080,301200," fan of energy drinks in general but it"
301200,304880," was not cool it I'm sorry no amount of"
304880,308320," extreme you know athletes doing whatever"
308320,310400," in their promotional materials is going"
310400,312880," to make drinking that cool it might make"
312880,315280," it might energize you or whatever else"
315280,317600," but it doesn't like who knows maybe it"
317600,319840," has efficacy but yeah you could you could"
319840,321680," taste you could find stuff that that"
321680,323920," tastes better for sure yeah for the same"
323920,326160," price or a lower one there's there's also"
326160,328320," like insane amount of options in that"
328320,330560," realm well yeah that's right so many"
330560,332640," opposite super competitive space yeah so"
332640,334560," I'm looking at it going the point of this"
334560,336800," obviously isn't that anyone will"
336800,339680," actually confuse your brand the point of"
339680,342240," this can't be to try to draw in a new"
342240,345680," customer by how cool and magnanimously"
345680,348880," you are behaving so the only thing I can"
348880,351680," think of is that you've got enough people"
351680,353840," out there addicted to your particular"
353840,356880," formula of piss water that they're kind"
356880,359920," of going oh right monster I haven't had"
359920,362240," one of those in a while by like beating"
362240,365440," up some indie company"
366320,369040," I know they are they are definitely"
369040,370560," getting coverage I knew about this"
370560,372160," before I saw it in the doc so did I"
372160,377280," I don't think we can even pull this"
377280,379200," because I don't think we can trust people's"
379200,383760," like stated opinions right you'd have to"
383760,386000," trust their market actions because those"
386000,388640," are very often not the same thing but"
388640,390320," like I wonder how effective that's going"
390320,392880," to be because there's no way in how"
393840,396000," this would make me want to buy something"
396000,398000," from monster or do the opposite now here's"
398000,401120," the thing this is not even a new"
401120,403680," behavior for them they are notorious"
403680,405920," for these kinds of frivolous nonsense"
405920,411600," lawsuits in 20 this is great in 2016"
411600,414640," monster lost a suit against monster"
414640,418080," fishkeepers which is that even is that"
418080,421360," even still a thing hey we're heading to"
421360,425120," monsterfishkeepers.com let's go this is"
425120,427920," apparently an aquarium enthusiast forum"
427920,432320," support and defend monster fishkeepers"
432320,434720," okay hold on a second this is from"
434720,438240," support and defend it this is an entire"
438240,441120," subforum we won okay this is from"
441120,445280," February of 2016 we've been battling"
445280,447760," with monster energy since 2014 I have"
447760,450320," beaten the monster monster energy now"
450320,452640," has a ruling against its ludicrous and"
452640,454480," overreaching argument that it owns the"
454480,456960," word monster hopefully this will help the"
456960,458560," hundreds of other small businesses being"
458560,462000," bullied by them wow this is amazing"
462000,464320," shout out neo prodigy for all I know you"
464320,466720," kill cats in your spare time but from this"
466720,469760," post alone you seem pretty cool and I'm"
469760,472480," super into it apparently they've gone after"
472480,476800," pokemon for pocket monsters and they've"
476800,479600," gone after monster hunter saying that there"
479600,482080," is confused there could be confusion in"
482080,485040," 2022 they tried to block hundreds of"
485040,488000," trademarks including moody monster a"
488000,490640," therapy toy for mentally ill children"
490640,493200," and the logo of the brookay brookhaven"
493200,496080," bears baseball team because it contains"
496080,498320," claw marks oh my"
498320,504720," hold on i've got to see this logo now i"
504720,510320," mean they just they just sound like"
510320,514000," just idiots you know like i don't i don't"
514000,516160," know i i i this feels impossible to"
516160,518240," actually implement impossible to police"
518240,520800," impossible to manage we probably shouldn't"
520800,522480," actually do it but it would be cool if"
522480,525440," there was like some type of thing that"
525440,527520," would monitor and detect stuff like this"
527520,531040," and be like you are overly abusing your"
531040,532480," rights blah blah blah and then you just"
532480,534960," lose your trademark just screw it like no"
534960,536400," you've done you've done too much you've"
536400,539120," gone too far you're just trying to use"
539120,540720," the people who don't defend your people"
540720,542960," in float plane are talking about kylie"
542960,546000," jennifer versus kylie minogue what in"
546000,549600," 2014 kylie jennifer wanted to register her"
549600,552640," name as a trademark but was prevented by"
552640,558000," singer kylie minogue wait wait she wanted to"
558000,561200," register kylie just kylie you shouldn't be"
561200,563840," all to register names or just standard"
563840,566080," english words well words in any other"
566080,568240," language really but i mean the thing is"
568240,569920," that you can at least oh hold on i've got"
569920,572800," the brookhaven bears logo this doesn't even"
572800,576800," look like the monster slash oh my god"
576800,578560," it doesn't it's not that the monster"
578560,580480," slash is very it's like three railroad"
580480,583200," spikes like this is this is it's very"
583200,586960," specific this is obviously inspired by a"
586960,590240," bear a bear swipe not a monster and does"
590240,593040," not evoke the look of the monster energy"
593040,598560," logo at all now the point is not that they"
598560,600320," think they're necessarily going to win"
600320,602560," this a major reason for these lawsuits"
602560,606000," aside from harassment protecting your trademark"
606000,608800," because is it trademarks that if you don't"
608800,611280," protect them that you can you can lose them"
611280,613600," so aside from protecting your trademark is"
613600,618640," just to um just to bully and intimidate others"
618640,622400," into giving in because of the threat of a"
622400,626320," long and expensive legal battle um"
626320,629840," apparently though glow stick entertainment plans to fight the lawsuit in"
629840,632000," court and is currently pushing for a"
632000,635280," summary dismissal uh the discussion question"
635280,637280," here i mean is pretty much what we've already"
637280,639360," talked about what is the motivation for"
639360,642400," monsters perspective wouldn't the risk of"
642400,645440," consumers seeing this and going wow what a"
645440,650320," bunch of jerk wads um outweigh any possible"
650320,653680," benefit but then you know i gotta ask like"
653680,658880," you drink monster energy like your standards are pretty low i guess so"
658880,663680," not i have a question i actually don't care you drink whatever energy drink you"
663680,665440," want when we're when are you suing the line of"
665440,670720," bicycles right right or or um oh man there's"
670720,673920," this other there's this other lyrics sounds pretty similar"
673920,677040," there could be confused there has been confusion we have"
677040,682240," documented confusion that legitimately has caused confusion we should sue the"
682240,685760," linux found i get called linux on a fairly regular basis"
685760,688960," especially by two people who second language is english"
688960,692240," yeah because it's just i don't know s excellent"
692240,697280," same thing right you want to you want to you want to lose a lot of fans"
697280,701040," let's go let's go sue the linux foundation that'll go really well"
701040,706320," oh this is just stupid i hate it yeah i don't know in some"
706320,709280," kit like i like i wasn't even i wasn't even"
709280,714320," super mad over the the dumb tech pouch thing with peak designs"
714320,718560," like or peak design whatever it is i i wasn't even that mad because it's like"
718560,722640," yeah trademarking just a descriptive name is"
722640,725760," something we could probably fight and it's super dumb"
725760,729360," but i don't care now it's the tech sack and it's selling great like it just"
729360,732880," it's a funnier name anyways it doesn't matter not necessarily a better name but"
732880,737840," it's a funnier name this is far far more frivolous"
737840,742640," yeah this is ridiculous apparently they actually"
742640,748240," filed against ubisoft over the title of the game gods and monsters"
748240,751680," and ubisoft did change the name to immortals"
751680,756400," phoenix rising ending the dispute my understanding though is that in the"
756400,761760," games industry it is extremely common to just like"
761760,766480," have to change the name of your game in the lead up to launch just because it's"
766480,772240," such a well there's so many yams yeah it's such a crowded space"
772240,776480," um and when like this genuinely happens by the way"
776480,780400," we've played them they're kind of funny sometimes but people will take like"
780400,784080," unity demos and spend like i don't know a day"
784080,788640," or less editing it and then just put it on steam and sell it"
788640,792400," when you can do that with any number of names for your games yeah"
792400,796880," like uh the the chance that a name that is similar to the name of the game that"
796880,799760," you're going to release is already out because of"
799760,804000," any reason is extremely high very very high"
804000,809520," so in summary monster sucks yeah choose another"
809520,812800," energy drink if you drink energy drinks yeah"
812800,815920," not promoting any particular one just don't drink that one if you like it why"
815920,818800," is denis here"
818800,824640," i uh i'm not i'm gonna say anything can you smell it as a present for you"
824640,827920," oh here it is here here you go"
827920,832720," uncle lioness oh it's familiar right do you recognize do you not uncle lioness"
832720,837600," yes yes i'm i'm i'm aware of uncle lioness i believe he's brought you a bag of"
837600,841040," uncle lioness it smells like potatoes smells like potatoes it just potatoes"
841040,843760," look there's something in there there's something in there you can"
843760,847280," in line see what you can find um put your hand in the bag"
847280,851680," yeah okay that's making it sound so much yeah this is making me extremely"
851680,855360," uncomfortable by the way uh the uncle lioness is"
855360,861200," uh number one choice farm fresh uh hoodie is way more comfortable than it looks"
861200,865280," i saw so many people confused by this thing it is not actually made a burlap i"
865280,868640," was a little bit confused about it because one of the one of the photos"
868640,873600," makes it look like it's burlap no okay it's 100 percent cotton yeah"
873600,877920," it's super comfy it's a real product and it's available"
877920,882560," while supplies last on ltt store.com uh we still have some of them but we've"
882560,885600," also have this yeah we well this we're probably"
885600,889600," gonna have to cut off orders at some point because they're back orders and"
889600,892880," until we cut off orders we're not going to be able to place the order to fill"
892880,895760," the back orders right so yeah that's the uncle lioness"
895760,898720," is uh thank you for that Dennis yes you're in the frame"
898720,902640," Dennis do you want me to put up the okay there's just potatoes"
902640,905680," hold on there's more oh boy there's more potatoes"
905680,910960," okay um okay luke i've got a potato for you okay"
910960,913920," oh that potatoes to save the laptop okay"
913920,917840," okay there's a letter you were supposed to find that in that giant sack of"
917840,922160," potatoes really that was wow good job liness"
922160,928320," okay um on the back of the letter is me taking a bite of a raw potato"
928320,933040," ah beautiful please read today we are doing something special"
933040,936560," we know that the wan show has been running late and causing you to miss"
936560,941680," dinner so i hooked you guys up with a failing company called uncle lioness's"
941680,945920," potato farm which has generally provided us with their signature"
945920,952080," uncle lioness's recipe fries by the way you can get this hoodie at ltt store.com"
952080,957040," you will be served six different plates of fries from six different"
957040,963280," restaurants including uncle lionesses. what on earth is the one from uncle lioness?"
963280,967440," yeah you need to guess where each plate is from we will start with the"
967440,972560," easier ones first all right here we go okay got plate one and two"
972560,977600," well um oh no okay plate one is McDonald's yeah"
977600,982640," yeah but it but it is just obviously McDonald's"
982640,984960," though right yeah here give them uh if the"
984960,988320," michutes they can write down the audience can't see it either"
988320,991040," yeah they're not allowed okay you can i'm allowed to"
991040,995280," I'm allowed to talk immediately i'm allowed to do whatever i want"
995280,998560," the second one is an W you"
998560,1004720," you're really the game we both knew both of those though"
1004720,1008240," okay well hold on let's at least put them where people can see them"
1008240,1012160," well why are you bringing more of them out wait maybe not"
1012160,1015120," just stop why is that happening i have no idea for that one what the"
1015120,1018240," f*ck is that other one yeah i have no idea that looks like just"
1018240,1022720," tater tots and like minced beef yeah what am i okay do we need a pen"
1022720,1026560," why are you bringing them all out now and oh they can see it now okay"
1026560,1029040," what is happening yeah how does this game work"
1029040,1034000," on you guys to try them and test and taste it okay fine i'll try those"
1034000,1039040," yeah McDonald's wow"
1039040,1048480," okay so there's a punishment you keep leaking the answer"
1048480,1051680," okay you're supposed to keep it to yourself okay well we did it to ourselves"
1051680,1055600," we haven't even explained the rules yet oh okay well"
1055600,1058400," you keep telling me i haven't eaten it yet but it's not like you give me a"
1058400,1062160," need to eat it's i'm not in charge here"
1062160,1065760," okay why do you want to try those ones i want to try i like McDonald's fries i'll"
