start,end,text
0,4480," Hi, y'all doing everyone."
4480,6280," Happy Friday and welcome to The Wanshow."
6280,8640," We've got a great show lined up for you today."
8640,14920," We'll be talking about, okay, this is not a major topic, but it's pretty unusual and"
14920,16880," comical."
16880,21560," Woman was caught trying to smuggle CPUs into China under a fake pregnant belly."
21560,22560," Like a lot of them."
22560,24400," We'll be talking about that."
24400,30040," Well, Arc GPUs are getting a massive upgrade in performance, particularly in games that"
30040,31040," use older APIs."
31040,33200," We're going to be talking about that."
33200,34480," What else we got?"
34480,37360," And this one's a big topic."
37360,38960," Why don't you care about this topic?"
38960,39960," Wait, which one?"
39960,41480," You have no love for this topic at the top."
41480,42480," The highlight of the book."
42480,43480," Oh, yeah."
43480,49120," Nintendo DMCA's YouTube documentary about a devs pitch for a 2004 Zelda game that didn't"
49120,51680," even get made."
51680,54960," But there's like reasons why this is really weird."
54960,58400," We'll talk about that for sure."
58400,62480," I don't want to talk about the Bill Clinton thing."
62480,67640," I'm going to continue conversations about GPT because you're stuck here with me no matter"
67640,68640," what."
68640,69640," So I'm going to do it."
69640,70640," All right."
70640,71640," I mean, that's fair."
71640,72640," Yeah."
72640,73640," Captive audience."
73640,74640," Yeah."
74640,76320," It's not like they could just go to a different tab in their browser."
76320,77320," Illegal."
77320,100600," The show was brought to you today by Vessy Footwear."
100600,103120," Brilliant and new egg."
103120,109240," I think the first one has got to be the CPU smuggling story."
109240,113040," The pictures are just wild here."
113040,114040," All right."
114040,115960," This was so random."
115960,121520," I jumped on the forum to check out the tech news section as I do sometimes to see if we"
121520,123440," can find anything more for when."
123440,125120," And I came across this."
125120,126640," Opposed to buy big strewns."
126640,127640," Thanks, big strewns."
127640,135120," It tries to enter China with over 200 Intel all their like CPUs hidden inside fake pregnant"
135120,136120," belly."
136120,140200," This wasn't like a couple."
140200,141200," That's so many."
141200,142200," Okay."
142200,143480," These are all their like CPUs."
143480,145120," So these are high end chips."
145120,151880," We are talking somewhere in the neighborhood of hold on a second calculator, 200 times."
151880,156080," Let's say they're not even top tier chips, like maybe like 400 bucks or something like"
156080,157080," that."
