start,end,text
0,3000," Oh, Merry Christmas."
3000,4520," Guess what I got you?"
4520,5520," Nothing."
5520,6520," The Wen Show."
6520,7520," Hey!"
7520,8520," Welcome everybody."
8520,10280," You've got a lot of great stuff to talk about today."
10280,18760," John Carmack's Decade in VR is over as he exits from Reality Labs, formerly Oculus."
18760,21760," This actually broke last week right before the show."
21760,24960," So, we didn't really get a chance to talk about it, but we're going to talk about it"
24960,25960," this week instead."
25960,28480," Oh, this is a big one."
28480,31360," This is actually the title topic of the show today."
31360,37900," We got an update from Microsoft on our Windows modern standby video where we basically went,"
37900,42520," you guys are ruining Windows laptops with this standby issue where the battery just"
42520,44360," drains for no reason."
44360,46360," What the heck is going on over there?"
46360,53200," And we actually apparently raised some hell over at Microsoft and Alex from our team managed"
53200,58960," to get on the phone with the VP of Windows platform and services to go over some of our"
58960,59960," questions."
59960,62440," So, we're going to be talking about that call."
62440,64300," What is going on over there?"
64300,66040," What it is that they're going to do about it?"
66040,67720," Got a whole big update for you guys."
67720,68720," What else we got?"
68720,74240," I thought the LastPass breach was in the dock, but I can't find it, but we're probably going"
74240,76440," to talk about that anyways because it's interesting."
76440,80160," And also, we have three rapid fire topics today."
80160,82320," One is, Ufi admits they lied."
82320,85000," One is, NVIDIA ends game stream recommends steam link."
85000,90400," And another one is facial recognition used to bar a lawyer from entering a venue."
90400,96720," And the reason why I'm listing all of these is because some amount of them are written"
96720,98320," by chat GPT."
98320,102360," Oh, wait, all the rapid fires are written by chat GPT."
102360,103960," Some amount."
103960,109200," And you are going to have to guess which ones are written by chat GPT."
109200,110200," Oh, no."
110200,111200," And which ones are written by our team?"
111200,114360," I will say they have been slightly massaged."
114360,115360," Oh, right."
115360,118040," Fit the format of how we normally do."
118040,123120," But there are lots of like whole sentences and stuff that are taken directly from chat"
123120,124120," GPT."
124120,125120," Why?"
125120,126120," Okay."
126120,129600," So you're going to have to figure out which ones or how many, whatever, we'll figure it"
129600,130600," out when we get there."
130600,131600," Okay."
131600,132600," It's unlisted."
132600,133600," It's not on YouTube."
133600,134600," You change it to unlisted."
134600,135600," Hold on."
135600,136600," No, no, it's fine."
136600,137600," I'll just set it to."
137600,142600," And then they will see the rest of it later."
142600,144600," Let's see."
144600,153600," The show is brought to you by Vessy Footwear and two other things that were there before."
153600,157600," See, Sonic and Zoho One."
157600,158600," Yes."
158600,159600," Hold on."
159600,160600," I'm going to show you how we're going to do this."
160600,161600," I'm going to show you how we're going to do this."
161600,162600," I'm going to show you how we're going to do this."
162600,163600," I'm going to show you how we're going to do this."
163600,164600," I'm going to show you how we're going to do this."
164600,165600," I'm going to show you how we're going to do this."
