start,end,text
0,3600," - Welcome to The Wancho."
3600,6360," We are 21 minutes late and Linus isn't even here."
6360,8040," - Well Linus, that's why I relate."
8040,8880," - Yeah."
8880,10040," (laughs)"
10040,13080," I was here on time, James was here many hours before"
13080,13920," on time."
13920,15120," - Trying to figure out whether I was just started"
15120,15960," without him."
15960,17360," I think he's gonna relieve me soon."
17360,19240," - Yeah, they're filming a video like right there."
19240,21560," So us talking is probably gonna be super annoying for them"
21560,23280," but they told us to do it, right?"
23280,24120," - You said do it."
24120,25200," - Not our fault."
25200,26240," Welcome to The Wancho."
26240,27480," We got great topics."
27480,29920," User benchmark controversy, they changed the weights"
29920,33280," of how things are scored and it moves some processes around"
33280,36480," in the ranking system in some funky ways and some people,"
36480,39360," especially the AMD crowd, are very upset about it."
39360,42560," - And Cloud Fair stops servicing 8chan."
42560,44920," - My free speech."
44920,46960," - Oh my God, they're a private company."
46960,51240," Anyways, AMD Epic 7000 and 2 Series Rome processor."
51240,52720," I'm not gonna need to say anymore."
52720,54160," - All that and more."
54160,55000," On the Wancho."
55000,55840," - Roll the intro."
55840,56680," - Roll the intro."
57880,61340," *dramatic gibberish*"
61340,65300," Whatever they call it, all ad sense taken..."
65300,70100," Demonotize for Hampshire dance."
70100,70960," Yeah!"
70960,71940," It's isolate!"
71940,73860," Body, body!"
73860,76760," Hey mate!"
76760,77660," Oh, hey, super face!"
77660,78660," Honey!"
78660,79700," Just fast sun."
79700,80600," Squarespace."
80600,81900," Bye boo!"
81900,83560," And Rijoule."
83560,85040," Rijoule!"
85040,85540," Rijoule?"
85540,87200," Oh, Rijoule!"
88160,89760," AJ is crying right now."
89760,90760," What is it?"
90760,92660," Absolutely bawling at this moment."
92660,100500," Anytime I say anything French, I think the hair and the veins on his body are partially wolverines."
100500,101320," Okay."
101320,105500," Did you know that in America, the Kia Sportage is pronounced like Kia Sportage?"
105500,106760," Really?"
106760,107260," Yes."
107260,109660," Like an ad and stuff?"
109660,111060," Yeah, that's what I heard."
111060,111800," Whoa!"
111800,112660," Sportage."
112660,113660," Interesting."
113660,117020," Speaking of Sportage, Cloudflare terminates."
117020,118020," They did this, right?"
118020,119020," They terminated the..."
119020,121360," Okay, so Cloudflare terminates 8-chan."
121360,123320," That's, I believe..."
123320,126440," I mean, Cloudflare isn't like a server host."
126440,130240," So they probably terminated like DNS setup and all this other kind of stuff so you wouldn't"
130240,131320," be able to get there."
131320,134880," But they didn't like delete the..."
134880,137760," They don't have that type of relationship."
137760,138760," But..."
